"laying" "sitting" "standing" "walking" "walking_downstairs" "walking_upstairs"
"tBodyAcc-mean()-X" 0.272376614181538 0.274183111498423 0.279177960301325 0.265696920582133 0.273428719636364 0.273113115788079
"tBodyAcc-mean()-Y" -0.0175697042641846 -0.0148081545344921 -0.0154833455336192 -0.0182981725176081 -0.017856067384956 -0.0191323183174834
"tBodyAcc-mean()-Z" -0.11599454136 -0.107521430810726 -0.105661736816887 -0.10784573454611 -0.106492632429097 -0.115649958175497
"tBodyAcc-std()-X" -0.505086085072062 -0.605211727785489 -0.507691011391722 -0.545795331328326 -0.623413602046921 -0.605586497159271
"tBodyAcc-std()-Y" -0.368403670137262 -0.509929384011325 -0.402724906078146 -0.367716218227378 -0.480015920697654 -0.428962986589404
"tBodyAcc-std()-Z" 0.112372982983877 0.0536488726544164 0.183328842972351 0.196151041060519 0.156544326025806 0.194535818751225
"tGravityAcc-mean()-X" 0.688702063569231 0.706593043123028 0.698153719072848 0.744867411573487 0.707814353343108 0.660782866688742
"tGravityAcc-mean()-Y" 0.0162055455953846 0.112591195496986 0.112313109736755 -0.0825562579855908 -0.0260590480328739 -0.147219886910411
"tGravityAcc-mean()-Z" 0.0475199990906462 0.164130896618297 0.0921607197449904 0.072339870389049 0.0480937904190616 0.134865335090728
"tGravityAcc-std()-X" -0.958898709015385 -0.962636979274448 -0.964629108807947 -0.959859435936599 -0.966457565630499 -0.963015508245033
"tGravityAcc-std()-Y" -0.9509348864 -0.941416800167192 -0.939973777950331 -0.951150627458213 -0.9445645371261 -0.960033560165563
"tGravityAcc-std()-Z" 0.17538089676 0.128165440966877 0.119310090465795 0.146578594036311 0.0152071986105572 0.0691912329423841
"tBodyAccJerk-mean()-X" 0.0813833604034769 0.0788637845151419 0.0841019899622517 0.0770930495126801 0.0701731261988856 0.0785353156747351
"tBodyAccJerk-mean()-Y" 0.000479281129661539 0.00351340949514196 0.0017656830384106 0.0165908438802305 0.0144664329060411 0.00708771249764901
"tBodyAccJerk-mean()-Z" -0.00225896302076923 -0.00737375142832808 -0.0029537113427351 -0.00910758730117003 -0.000526818872875366 0.000755760748377483
"tBodyAccJerk-std()-X" -0.531468310262154 -0.631853083289621 -0.575890535679801 -0.524721922818732 -0.635484688041056 -0.557809603123841
"tBodyAccJerk-std()-Y" -0.454437496885815 -0.584063204701893 -0.506544358609603 -0.470412403511239 -0.55721186773783 -0.491875889831788
"tBodyAccJerk-std()-Z" 0.126975393173292 0.120329533513211 0.17715523763904 0.208920598589625 0.0852182319044868 0.155085641165397
"tBodyGyro-mean()-X" -0.0433611785374462 -0.0289417906907571 -0.0294516873643046 -0.0208764064320173 -0.0248490682828446 -0.0517030657821192
"tBodyGyro-mean()-Y" -0.0706129097498462 -0.0787229907785489 -0.0774316445596026 -0.0880722729400576 -0.0743565308442815 -0.0568420186817881
"tBodyGyro-mean()-Z" 0.0973130293888923 0.0957174866009464 0.0866267116745033 0.0862641666597983 0.0866875497119062 0.0872599422291391
"tBodyGyro-std()-X" -0.653800660041538 -0.701397703369085 -0.709955676983444 -0.686555715201729 -0.699262195705865 -0.710648927815894
"tBodyGyro-std()-Y" -0.626252072652308 -0.79823574873817 -0.705638306688742 -0.450979810499568 -0.76302218170088 -0.722943674337748
"tBodyGyro-std()-Z" -0.180886790116062 -0.0576250513376972 -0.109456425406623 -0.10499394311268 -0.130032880846334 -0.169148962615563
